utterance_id,child_id,session_id,age_bucket,audio_duration_sec,filesize_bytes,word_count,words_per_second,orthographic_text
U_000f24e359c06caf,C_e2676f2cc72877b4,S_5607c15821055988,5-7,4.08,96707,1,0.24509803921568626,slash
U_00287770c38a1d42,C_1128f2690d3b10d4,S_364c847e5de4c1e5,8-11,1.368,29763,7,5.116959064327485,yeah oh yeah we made a cu
U_0035443b909d5f6d,C_0fbea0b5205dcf82,S_c24e5bafd82bd7ec,8-11,0.605,20117,3,4.958677685950414,i don't know
U_003553aeccad3fd6,C_59940da87de5f402,S_c75640bc0cdd884b,8-11,90.319,1489592,185,2.0482954859996236,s things that we did with sponge we put the sponge on a balances and then we um did papers like how many um how many grams does the sponge weigh by itself without water so i answered four grams cause we have these tiny little cubes that um have like one gram ten grams five grams twenty grams so then i put it um i put it um the what you call it well i put the um sponge on there uh with four grams and it was equal on the balance and then i put in um a wa i put it inside a water um a w a um cup full of water and then i put it inside the b on the balance and then i put one twenty and two tens and um two fives on the um on the balance and it was equal so then i'd minused it as well so actually the amount of water tha that my tiny sponge could hold was fifty six grams and yeah so that's what we learned about sponge and stuff
U_0035b4ac246f7a31,C_ae774cac66d6e717,S_2167acd9e93fa279,8-11,1.206,24551,5,4.1459369817578775,er wait a second um
U_006d8dc50673aa6f,C_f1509fdb7948bed1,S_dc610db7e49c4987,8-11,0.208,13152,1,4.8076923076923075,dif
U_007ed4c07e645a50,C_8e6661ba87cf2132,S_5ee9cf6064786516,8-11,64.141,1374144,119,1.8552875695732838,magnet stick to lots of lots of like cold things that are cold sometimes sometimes it'll stick to like if you have like a desk like i do that opens on the top and has the metal to hold it up it'll stick to that and it'll also stick to your chair if you have a plastic on the top where you sit and the little steel things on the little um which the the um the legs of the chair that hold the chair up and it sticks to other metals too like say for your car it'll stick to the car's rim it'll stick to lots of other things too but it probably won't stick to animals
U_007f04891c22caf9,C_38231c40656453c7,S_7ab49af43d0f25dc,8-11,0.471,13345,2,4.246284501061571,n mmm
U_0091a49364b9a86d,C_001a98a366d4acd2,S_27f57673642be250,8-11,59.988,921126,115,1.9170500766820031,um well mmm our teacher played a trick on us and well m sometimes when you like mmm go into like a cold pool and then you like mmm get out of the cold pool and you go into like a hot pool then mmm then you think that the hot pool is hotter than it really is and um so mmm we had to like test with our fingers like mmm how mu how like how well what the temperature is mmm mmm that we thought mmm it is be by touching it so mmm okay but we thought mmm the first cup actually no the third cup was hotter than it really was
U_00a6aa0e3395b401,C_bb44003703919c45,S_d81eb178d79c6358,8-11,1.714,44994,8,4.667444574095683,and then we did a response on it
U_00ce5fc198802524,C_eaefdeb72be688e7,S_d62af0f94f80f9e1,8-11,0.511,14195,1,1.9569471624266144,right
U_00d651413b277fb7,C_af626a1164302b91,S_4440689430e39613,8-11,43.564,945533,121,2.7775227251859333,so we put um we had a magnet we put tin we put tin foil which didn't stick to the magnet but then we put the metal the steel washer on top of the tin foil and it stoo and it stuck there and then i put a nail on the steel washer and it stuck and then and then after that i put the um yeah and then i put a paper clip on the bottom and it stuck perfectly fine but i think the way and i tried with the bler brass uh foil and it didn't work because i think that didn't work because it's too thick and the thinner the object the stronger the force will be
U_00d82f07580136af,C_389bd9177db48a0f,S_51404abb59ff3665,8-11,0.388,15401,1,2.5773195876288657,yep
U_00e9b3f3b7bece0e,C_3439b0941f1515aa,S_17fe8683bfe8db3f,8-11,0.2,13271,1,5.0,why
U_00f0c596a30359b1,C_82889e1d53e366b7,S_a3d600e988b45ac2,8-11,0.47,13440,1,2.127659574468085,yeah
U_00f2d1ea9ac5623f,C_621e811136fec746,S_857c43e0a5fefec1,5-7,4.46,102055,1,0.2242152466367713,fly
U_015b6a6fb8602c70,C_09f29adf3de1d136,S_d959b63dde90d859,8-11,32.84,630932,89,2.710109622411693,well like if you were gonna measure your desk you see that the handle right there so that's a meter off the ground so you take that from the meter and you put the the meter to see if it's as tall as a desk so when i they when i did it i so like when i saw the desk the desk was about h to here so when i sh looked over there i saw that the desk was taller than a meter smaller than a meter
U_015bcf8d9ea84936,C_6bcfd5491e81df9c,S_c3e634c3e83396e9,8-11,70.617,1015347,124,1.7559511165866575,yeah in measurement we are like um seeing that there's like um a shorter one but fatter but and a long one but skinnier and um the we're gonna and but and we used a little worksheet a uh and one is and one person was complaining about um that um she got a shorter cup and he got a bigger cup and um the person was trying to make it equal so i wrote that um he should get um tu um another short one and another bigger one and then um pour the wa sh skinniest one to the um shortest one into the empty cup of the shortest one and the shortest one to the longest one of the empty cup
U_0160268f8ab7790a,C_388ff057477baaa5,S_561ca52772d86145,8-11,26.786,372991,84,3.1359665496901363,how it reflects the objects in the room is when it hits that object it'll go back it'll go somewhere like any direction but it'll go back up so it can go left but it'll go up but it can go right but it'll go up it can just go up any um way it'll go up hit the roof come back down hit the floor go up hit the roof come back down hit the floor until it finally hits like a wall
U_0169cb37df2bf0e8,C_aa60624a1fa77287,S_6eea3825d2c1f2e7,8-11,2.175,54273,9,4.137931034482759,the objects that are insulators are the metal parts
U_0184f2a18cf883a5,C_cf54751fdf697eb1,S_de0dab49e20f57d2,8-11,0.812,14834,1,1.231527093596059,a
U_01938626143fa371,C_9fce57d8e83e10ef,S_a213dd872f83c11b,8-11,0.306,12928,1,3.2679738562091503,yeah
